1.748 150.0 153.3 0.6
1.811 150.0 152.0 0.6
1.852 150.0 150.10000000000002 0.6
1.872 150.0 148.8 0.6
1.885 150.0 138.6 0.6
1.933 150.0 120.2 0.6
1.986 150.0 107.4 0.6
2.037 150.0 92.17 0.6
2.242 150.0 57.14 0.6
2.425 150.0 45.62 0.6
2.632 150.0 39.160000000000004 0.6
2.82 150.0 33.99 0.6
3.032 150.0 32.61 0.6
3.225 150.0 33.78 0.6
3.355 150.0 35.62 0.6
3.441 150.0 36.85 0.6
3.527 150.0 38.07 0.6
3.635 150.0 39.29 0.6
3.743 150.0 40.5 0.6
3.85 150.0 41.72 0.6
4.066 150.0 44.790000000000006 0.6
4.303 150.0 47.84000000000001 0.6
4.561 150.0 50.25 0.6
4.816 150.0 49.48 0.6
5.049 150.0 47.46 0.6
5.304 150.0 46.06 0.6
5.556 150.0 41.49000000000001 0.6
5.788 150.0 38.83 0.6
6.042 150.0 36.16 0.6
6.296 150.0 33.49000000000001 0.6
6.548 150.0 28.92 0.6
6.782 150.0 28.16 0.6
7.035 150.0 24.86 0.6
7.29 150.0 24.09 0.6
7.523 150.0 21.43 0.6
7.779 150.0 22.57 0.6
8.054 150.0 19.89 0.6
8.287 150.0 17.87 0.6
8.499 150.0 16.49 0.6
8.777 150.0 16.99 0.6
9.054 150.0 16.85 0.6
9.308 150.0 14.81 0.6
9.542 150.0 14.06 0.6
9.775 150.0 12.03 0.6
10.03 150.0 11.9 0.6
10.31 150.0 10.49 0.6
10.52 150.0 9.749 0.6
